COUNTRY,YEAR,VEHICLE,FUEL,UNITS
Belgium,2018,Medium Cars,Diesel,39411
Belgium,2018,Medium Cars,Electric,4870
Belgium,2018,Medium Cars,Hybrid,766
Belgium,2018,Medium Cars,Petrol,56043
Belgium,2018,Mini Cars,Alternative,99
Belgium,2018,Mini Cars,Diesel,1575
Belgium,2018,Mini Cars,Electric,992
Belgium,2018,Mini Cars,Hybrid,15
Belgium,2018,Mini Cars,Petrol,27200
Belgium,2018,Minivans,Alternative,93
Belgium,2018,Minivans,Diesel,17229
Belgium,2018,Minivans,Electric,247
Belgium,2018,Minivans,Hybrid,18
Belgium,2018,Minivans,Petrol,18232
Belgium,2018,SUVs,Alternative,41
Belgium,2018,SUVs,Diesel,74485
Belgium,2018,SUVs,Electric,1713
Belgium,2018,SUVs,Hybrid,4323
Belgium,2018,SUVs,Petrol,123339
Belgium,2018,Small Cars,Alternative,342
Belgium,2018,Small Cars,Diesel,9760
Belgium,2018,Small Cars,Electric,3351
Belgium,2018,Small Cars,Hybrid,1737
Belgium,2018,Small Cars,Petrol,79740
Belgium,2018,Sports Cars,Alternative,1
Belgium,2018,Sports Cars,Diesel,159
Belgium,2018,Sports Cars,Electric,1368
Belgium,2018,Sports Cars,Hybrid,89
Belgium,2018,Sports Cars,Petrol,3003
Belgium,2019,Executive Cars,Alternative,2
Belgium,2019,Executive Cars,Diesel,9303
Belgium,2019,Executive Cars,Electric,770
Belgium,2019,Executive Cars,Hybrid,1412
Belgium,2019,Executive Cars,Petrol,1613
Belgium,2019,Large Cars,Alternative,5
Belgium,2019,Large Cars,Diesel,26428
Belgium,2019,Large Cars,Electric,6960
Belgium,2019,Large Cars,Hybrid,935
Belgium,2019,Large Cars,Petrol,11039
Belgium,2019,Luxury Cars,Alternative,0
Belgium,2019,Luxury Cars,Diesel,376
Belgium,2019,Luxury Cars,Electric,0
Belgium,2019,Luxury Cars,Hybrid,461
Belgium,2019,Luxury Cars,Petrol,392
Belgium,2019,Medium Cars,Alternative,667
Belgium,2019,Medium Cars,Diesel,36618
Belgium,2019,Medium Cars,Electric,2288
Belgium,2019,Medium Cars,Hybrid,1108
Belgium,2019,Medium Cars,Petrol,61929
Belgium,2019,Mini Cars,Alternative,59
